#class	IsNamedIndividual	Description
Acarbose	TRUE	Drug
Gemigliptin	TRUE	Drug
ApplicationCondition	FALSE	Condition in whcih the patient recieves the medication. E.g. empty stomatch
AdverseEffect	delete this class	Adverse effect of the intervention (SC)
AdverseEffectName	FALSE	Acronyms/synonyms of the same adverse effect
Afternoon	TRUE	Relative time: from midday (noon) to evening (aprox. 12:00-18:00)
AggregationMethod	FALSE	It refers to the summary measure format for each study group (e.g. mean) (SC)
AggregByNumParticip	TRUE	Aggregation method: by number of participants
AllocationRatio	FALSE	Allocation ratio. e.g. 1:1
Anemia	TRUE	Adverse Effect
AngleClosureGlaucoma	TRUE	Type of glaucoma
AnyGender	TRUE	Gender
Apraclonidine	TRUE	Drug
Acetazolamide	TRUE	Drug
Albiglutide	TRUE	Drug
Argentina	TRUE	Country
Arm	FALSE	A clinical trial arm is a group of patients (or other study subjects) receiving a specific treatment or control treatment (i.e. placebo) (SC)
Australia	TRUE	Country
Austria	TRUE	Country
Author	FALSE	Author
AvgAge	FALSE	Average age of the participants
BaseLineValue	FALSE	Baseline value
Betaxolol	TRUE	Drug
Bimatoprost	TRUE	Drug
BioAndMedicalUnit	FALSE	Units used in the biomedical context  (SC)
Blind	TRUE	Clinical trial design in which the patients do not know the medication they receive
Prospective	TRUE	Type of clinical study that watches for outcomes during the study period.
BMI	TRUE	Endpoint description (secondary outcome) in diabetes
BodyWeight	TRUE	Endpoint description (secondary outcome) in diabetes
BAK-preserved_Latanoprost	TRUE	Benzalkonium chloride (BAK) preserved latanoprost
Preservative-Free_Latanoprost	TRUE	Preservative-Free_Latanoprost or T2345
Brazil	TRUE	Country
Brimonidine	TRUE	Drug
Brinzolamide	TRUE	Drug
Canada	TRUE	Country
Carteolol	TRUE	Drug
Cabergoline	TRUE	Drug
Caucasian	TRUE	Ethnicity
ChangeBloodVelocity	TRUE	Possible adverse effect in glaucoma treatments
ClinicalTrial	FALSE	Controlled study that assigns groups of patients to one or more health-related interventions to evaluate their effects (SC)
Colombia	TRUE	Country
ConcentrationUnit	FALSE	concentration Units  (SC)
ConclusionComment	FALSE	Conclusion comment written by the author(s) of the clinical trial article
ConfIntervalBL	FALSE	Confidence interval
ConfIntervalResValue	FALSE	Confidence interval
ConfIntervalNumAffected	FALSE	Confidence interval
ConfIntervalChangeValue	FALSE	Confidence interval
ConfIntervalDiff	FALSE	Confidence interval
ConflictInterest	FALSE	A type of risk of bias in the clinical trial
ConjunctivalHyperemia	TRUE	Adverse effect in glaucoma treatments
Corneal_PPE	TRUE	Adverse effect in glaucoma treatments
Country	FALSE	Country where the population comes from  (SC)
Croatia	TRUE	Country
Colesevelam	TRUE	Drug
Canagliflozin	TRUE	Drug
Crossover	TRUE	Clinical trial design in which the patients cross over from one treatment to another during the course of the study
CTAnalysisApproach	FALSE	Clinical trial analysis approach: ITT or pre-protocol  (SC)
CTDesign	FALSE	Clinical trial design (e.g. blinded) (SC)
Dapagliflozin	TRUE	Drug
Day	TRUE	Time unit
DeliveryMethod	FALSE	It refers to the way a drug is administrated (e.g. injectable) (SC)
DensityUnit	FALSE	Density Units (SC)
DiffGroupAbsValue	FALSE	Absolute value of the difference between two arms' results.
DiffBetweenGroups	FALSE	Difference between the results of two outcomes (SC)
DiffGroupRelValue	FALSE	Relative value (%) of the difference between two outcomes.
DisorderOrSyndrome	FALSE	Disease/syndrome under study  (SC)
IOP	FALSE	Interocular Pressure
Diurnal_IOP	TRUE	Interocular Pressure during the day
Peak_IOP	TRUE	Interocular Pressure in peak
Peak_Trough_IOP	TRUE	Interocular Pressure in peak-trough
Trough_IOP	TRUE	Interocular Pressure in trough
Dorzolamide	TRUE	Drug
DoseDescription	FALSE	Description of the dose of drug administered to a patient when not specific values are given.
DoseValue	FALSE	The amount of drug administered to a patient or test subject at one time or the total quantity administered at stated intervals
DoubleBlind	TRUE	Clinical trial design in which neither the participants nor the experimenters know who is receiving a particular treatment
Noninferiority	TRUE	CT design that attempts to show that the new treatment is not an unacceptably worse to the standard one
Drug	FALSE	Drug that is being given in the treatment  (SC)
Egypt	TRUE	Country
Empagliflozin	TRUE	Drug
Endpoint	FALSE	Endpoint
EndPointDescription	FALSE	Description/name of the endpoint (output indicator)  (SC)
Ethnicity	FALSE	Ethnicity of the population  (SC)
Evening	TRUE	Relative time: from the end of the afternoon to midnight
